Sno,Generic/Quantity,Package Unit,Price(in Rs.)
935,Metronidazole   400 mgNalidixic Acid   300 mg,10 Tablet,16.48
936,Furazolidone   40 mgMetronidazole   200 mg,30 ml,10.89
937,Norfloxacin   400 mgMetronidazole   400 mg,10 Tablet,13.38
938,Norfloxacin   300 mgMetronidazole   300 mg,10 Tablet,10.36
939,Norfloxacin   250 mgMetronidazole   250 mg,10 Tablet,8.88
940,Furazolidone   30 mgMetronidazole   100 mg,450 ml,53.68
941,Norfloxacin   200 mgMetronidazole   300 mg,10 Tablet,8.44
942,Norfloxacin   200 mgMetronidazole   200 mg,10 Tablet,7.22
943,Norfloxacin   100 mgMetronidazole   100 mg,10 Tablet,4.04
944,Furazolidone   100 mgTinidazole   300 mg,10 Tablet,6.04
945,Norfloxacin   400 mgTinidazole   600 mg,10 Tablet,10.89
946,Norfloxacin   400 mgTinidazole   300 mg,10 Tablet,11.48
947,Nalidixic Acid   150 mgMetronidazole   100 mg,60 ml,15.32
948,Nalidixic Acid   150 mgMetronidazole   100 mg,30 ml,9.44
949,Gentamicin   0.1% w/wClobetasol Propionate   0.05% w/w,10 gm,6.82
950,Nalidixic Acid   300 mgMetronidazole   200 mg,60 ml,23.24
951,Gentamicin   0.1% w/wClobetasol Propionate   0.05% w/w,15 gm,8.84
952,Nalidixic Acid   300 mgMetronidazole   400 mg,10 Tablet,16.48
953,Nalidixic Acid   500 mgMetronidazole   200 mg,10 Tablet,21.06
954,Gentamicin   0.3% w/vBetamethasone   0.1% w/v,5 ml,3.84
955,Nalidixic Acid   300 mgMetronidazole   200 mg,10 Tablet,15.34
956,Metronidazole   100 mgOfloxacin   100 mg,30 ml,12.26
957,Metronidazole   1% Miconazole Nitrate   2% ,30 gm,12
958,Metronidazole   200 mgAmoxicillin Trihydrate   250 mg,10 Capsule,16.96
959,Metronidazole   1% w/wChlorhexadine Gluconate   0.25% w/w,10 gm,6.08
960,Metronidazole   1% w/wChlorhexadine Gluconate   0.25% w/w,20 gm,8.13
961,Metronidazole   1% w/wPovidone Iodine   5% w/w,30 ml,10.27
962,Metronidazole   1% w/wPovidone Iodine   5% w/w,15 gm,8.66
963,Metronidazole   1% w/wMupirocin   2% w/w,5 gm,36.42
964,Metronidazole   1% w/wSucralfate   7% w/w,20 gm,7.9
965,Metronidazole   100 mgDiloxanide Furoate   125 mg,50 ml,8.25
966,Metronidazole   100 mgFurazolidone   30 mg,450 ml,53.68
967,Metronidazole   100 mgFurazolidone   30 mg,50 ml,7.02
968,Gentamicin   0.1% w/wClobetasol   0.05% w/w,30 gm,9.64
969,Metronidazole   100 mgFurazolidone   30 mg,60 ml,10.04
970,Gentamicin   0.1% w/wClobetasol   0.05% w/w,25 gm,13.22
971,Metronidazole   200 mgOfloxacin   100 mg,60 ml,21.7
972,Metronidazole   200 mgOfloxacin   100 mg,30 ml,16.37
973,Metronidazole   100 mgOfloxacin   50 mg,60 ml,16.14
974,Metronidazole   100  mgOfloxacin   50 mg,30 ml,12.62
975,Metronidazole   400 mgNorfloxacin   100 mg,60 ml,18.68
976,Metronidazole   200 mgNorfloxacin   100 mg,60 ml,15.5
977,Metronidazole   100 mgNorfloxacin   100 mg,60 ml,13.9
978,Metronidazole   100 mgNorfloxacin   100 mg,30 ml,11.6
979,Glipizide   2.5 mgMetformin   400 mg,10 Tablet,4.34
980,Glipizide   5 mgMetformin   500 mg,10 Tablet,10.6
981,Glipizide   2.5 mgMetformin   250 mg,10 Tablet,3.61
982,Ibuprofen   400 mgParacetamol   325 mg,15 Tablet,8.11
983,Ibuprofen   100 mgParacetamol   125 mg,50 ml,8.81
984,Ibuprofen   100 mgParacetamol   125 mg,60 ml,10.37
985,Ibuprofen   100 mgParacetamol   162.5 mg,60 ml,13.22
986,Ibuprofen   400 mgTizanidine   2 mg,10 Tablet,16.49
987,Ibuprofen   400 mgDextropropoxyphene   65 mg,6 Capsule,7.78
988,Ibuprofen   100 mgAcetaminophen   162.5 mg,50 ml,9.86
989,Ibuprofen   100 mgParacetamol   162.5 mg,100 ml,20.12
990,Ibuprofen   100 mgParacetamol   162.5 mg,50 ml,14.22
991,Ibuprofen   400 mgTizanidine   2 mg,10 Capsule,13.86
992,Ibuprofen   400 mgParacetamol   500 mg,250 Tablet,175.7
993,Ibuprofen   400 mgTramadol   50 mg,100 Tablet,80.5
994,Metronidazole   200 mgFurazolidone   40 mg,60 ml,11.28
995,Metronidazole   160 mgFurazolidone   30 mg,60 ml,9.88
996,Metronidazole   100 mgFurazolidone   40 mg,50 ml,7.72
997,Metronidazole   100 mgFurazolidone   30 mg,60 ml,8.78
998,Insulin (Human)   40 iu,10 ml,135
999,Metronidazole   75 mgFurazolidone   25 mg,60 ml,8.3
1000,Metronidazole   10% w/wClotrimazole   2% w/w,45 gm,18.02
1001,Metronidazole   200 mgDiloxanide Furoate   250 mg,15 Tablet,12.9
1002,Metronidazole   400 mgTetracycline   333 mg,10 Capsule,10.37
1003,Metronidazole   300 mgFurazolidone   100 mg,10 Capsule,8.4
1004,Metronidazole   200 mgLoperamide   1.5 mg,15 Tablet,5.97
1005,Metronidazole   400 mgDiloxanide Furoate   500 mg,15 Tablet,19.99
1006,Metronidazole   300 mgFurazolidone   100 mg,10 Tablet,4.72
1007,Metronidazole   400 mgFurazolidone   100 mg,10 Tablet,6.82
1008,Levodopa   200 mgCarbidopa   50 mg,10 Tablet,41.7
1009,Levodopa   250 mgCarbidopa   25 mg,10 Tablet,38.61
1010,Levodopa   100 mgCarbidopa   25 mg,10 Tablet,20.68
1011,Levodopa   100 mgCarbidopa   10 mg,10 Tablet,16.07
1012,Ascorbic Acid   200 mgSodium Ascorbate   338 mg,10 Tablet,11.7
1013,Ascorbic Acid   150 mgSodium Ascorbate   394 mg,10 Tablet,9.71
1014,Ascorbic Acid   100 mgSodium Ascorbate   450 mg,10 Tablet,6.98
1015,Vit C   100 mgCitrus Bioflavonoid   100 mg,10 Capsule,16.84
1016,Vit C   300 mgCitrus Bioflavonoid   300 mg,10 Capsule,42.7
1017,Vit C   150 mgVit E   268 mg,10 Capsule,12.73
1018,Vit C   2.5% w/wKojic Acid   0.75% w/w,15 gm,7.84
1019,Vit C   150 mgVit E   134 mg,10 Tablet,4.98
1020,Vit E   200 mgVit C   150 mg,10 Capsule,9.05
1021,Vit E   400 mgCod Liver Oil   300 mg,10 Tablet,12.31
1022,Vit E   0.5% w/wAloe   10% w/w,50 gm,17.71
1023,Vit E   400 mgCod Liver Oil   300 mg,10 Capsule,12.31
1024,Vit E   0.5% Aloe Vera   10% ,100 ml,14.07
1025,Erythromycin   250 mgBromhexine   8 mg,10 Tablet,12.41
1026,Metronidazole   0.2% Dextrose Anhydrous   5% ,500 ml,21.33
1027,Metronidazole   400 mgAmoxicillin Trihydrate   500 mg,10 Tablet,24.44
1028,Metronidazole   200  mgAmoxicillin Trihydrate   250 mg,10 Tablet,15.3
1029,Metronidazole   200 mgLoperamide   1.5 mg,15 Tablet,5.92
1030,Aspirin   75 mgAtorvastatin   20 mg,10 Tablet,18.29
1031,Aspirin   150 mgAtorvastatin   20 mg,10 Tablet,20.29
1032,Aspirin   75 mgRosuvastatin   10 mg,10 Tablet,44.29
1033,Aspirin   75 mgRosuvastatin   5 mg,10 Tablet,25.75
1034,Metronidazole   400 mgAmoxycillin   500 mg,10 Tablet,24.44
1035,Metronidazole   1000 mgFurazolidone   200  mg,4 Tablet,6.51
1036,Cloxacillin   5% w/wAmoxycillin   5% w/w,50 gm,24.88
1037,Cloxacillin   5% w/wAmoxycillin   5% w/w,250 gm,116.14
1038,Trimethoprim   200 mgSulphamethoxazole    1000 mg,20 Tablet,33.82
1039,Trimethoprim   160 mgSulphamethoxazole    800 mg,500 gm,172.8
1040,Salbutamol   1 mgTheophylline   30 mg,60 ml,12.5
1041,Metronidazole   0.2% Dextrose Anhydrous   5% ,500 ml,21.33
1042,Metronidazole   1% w/wPovidone Iodine   6% w/w,15 gm,8.49
1043,Vit E   0.5% Aloe Vera   10% ,100 ml,12.2
1044,Vit E   200 mgCod Liver Oil   300 mg,10 Capsule,9.05
1045,Vit E   200 mgVit C   150 mg,10 Capsule,8.84
1046,Vit E   400 iuVit C   150 mg,10 Tablet,7.46
1047,Vit E   200 iuVit C   150 mg,10 Tablet,4.98
1048,Vit C   2.5% w/wKojic Acid   0.75% w/w,15 gm,7.84
1049,Vit C   25% w/wKojic Acid   2% w/w,15 gm,9.94
1050,Vit C   300 mgCitrus Bioflavonoid   300 mg,10 Capsule,42.7
1051,Vit C   100 mgCitrus Bioflavonoid   100 mg,10 Capsule,16.84
1052,Vit A   6000 iuVit D3   1000 iu,10 Tablet,3.81
1053,Vit A   1600 iuVit D   100 iu,1000 Capsule,76.68
1054,Trimethoprim   2 mgSulphamethoxazole    10 mg,250 gm,43.75
1055,Trimethoprim   40 mgSulphamethoxazole    200 mg,10 Tablet,3.38
1056,Trimethoprim   160 mgSulphamethoxazole    800 mg,3 ml,3.51
1057,Trimethoprim   80 mgSulphamethoxazole    400 mg,1000 Tablet,511.79
1058,Theophylline   80 mgDiethylcarbamazine   100 mg,10 Tablet,3.04
1059,Theophylline   200 mgSalbutamol   2 mg,10 Tablet,3.6
1060,Theophylline   200 mgBromhexine   8 mg,10 Capsule,6.36
1061,Theophylline   400 mgBromhexine   8 mg,10 Capsule,8.14
1062,Theophylline   120 mgEphedrine Hcl   15 mg,10 Tablet,2.82
1063,Theophylline   23 mgEtophylline   77 mg,100 ml,11.92
1064,Theophylline   100 mgAmbroxol   30 mg,10 Capsule,7.02
1065,Sulphamethoxazole    200 mgTrimethoprim   40 mg,10 Tablet,3.38
1066,Sulphamethoxazole    500 mgPyramethamine   25 mg,2 Tablet,1.44
1067,Sulphadoxine   125 mgPyrimethamine   6.25 mg,10 ml,5.36
1068,Spironolactone   25 mgFrusemide (Furosemide)   40 mg,10 Tablet,20.08
1069,Salbutamol   2 mgBromhexine   8 mg,60 ml,10.7
1070,Salbutamol   200 mcgIpratropium Bromide   40 mcg,15 ml,9.49
1071,Salbutamol   2.5 mgGuaiphenesin   50 mg,3 ml,3.19
1072,Salbutamol   2.5 mgAmbroxol   1.5 mg,2.5 ml,3.26
1073,Levosalbutamol (Levalbuterol)   200 mcgBeclomethasone   200 mcg,30 Rotacap,15.94
1074,Salbutamol   200 mcgBeclomethasone   100 mcg,8 Tablet,1.39
1075,Salbutamol   4 mgTheophylline   300 mg,10 Tablet,5.46
1076,Salbutamol   2 mgTheophylline   200 mg,10 Tablet,4.15
1077,Rifampicin   100 mgIsoniazid   75 mg,10 Tablet,9.2
1078,Rifampicin   450 mgIsoniazid   225 mg,10 Tablet,36.26
1079,Ranitidine   125 mgPhenol   0.50% ,5 ml,5.34
1080,Ranitidine   150 mgDomperidone   20 mg,10 Tablet,5.46
1081,Prednisolone   1% Moxifloxacin   0.50% ,5 ml,13.46
1082,Prednisolone   10 mgBenzalkonium Chloride   0.1 mg,5 ml,63.97
1083,Prednisolone   10 mgBenzalkonium Chloride   0.06 mg,5 ml,10.43
1084,Prednisolone   5% Alcohol   5% ,250 ml,56.01
1085,Prednisolone   5 mgAlcohol   5% ,60 ml,17.79
1086,Procaine Pencillin   300000 iuPenicillin G Sodium   100000 iu,1 Vial,5.02
1087,Neomycin   100 mgDoxycycline   100 mg,250 gm,289.87
1088,Naproxen   500 mgSumatriptan Succinate   85 mg,2 Tablet,59.02
1089,Naproxen   10% w/wBenzyl Alcohol   1% w/w,10 gm,14.25
1090,Norfloxacin   100 mgMetronidazole   120 mg,30 ml,10.79
1091,Norfloxacin   125 mgMetronidazole   120 mg,30 ml,10.91
1092,Norfloxacin   400 mgLactobacillus Sporegens   120 million spores,10 Tablet,9.3
1093,Norfloxacin   100 mgTinidazole   300 mg,10 Tablet,6.04
1094,Norfloxacin   100 mgTinidazole   125 mg,30 ml,9.6
1095,Norfloxacin   100 mgOrnidazole   200 mg,30 ml,11.31
1096,Norfloxacin   400 mgMetronidazole   400 mg,30 ml,14.86
1097,Norfloxacin   200 mgMetronidazole   200 mg,60 ml,17.78
1098,Norfloxacin   150 mgMetronidazole   100 mg,30 ml,9.6
1099,Norfloxacin   100 mgMetronidazole   400 mg,60 ml,18.68
1100,Norfloxacin   100 mgMetronidazole   200 mg,60 ml,21.74
1101,Norfloxacin   100 mgMetronidazole   150 mg,30 ml,9.42
1102,Norfloxacin   400 mgTinidazole   500 mg,10 Tablet,13.32
1103,Norfloxacin   200 mgTinidazole   200 mg,10 Tablet,6.78
1104,Nalidixic Acid   150 mgMetronidazole   200 mg,60 ml,16.92
1105,Nalidixic Acid   150 mgMetronidazole   100 mg,50 ml,13.12
1106,Metronidazole   100 mgFurazolidone   25 mg,60 ml,8.82
1107,Metronidazole   400 mgAmoxycillin   500 mg,100 Tablet,274.48
1108,Metronidazole   0.20% Dextrose   5% ,500 ml,25.31
1109,Metronidazole   400 mgTetracycline   300 mg,10 Tablet,9
1110,Metronidazole   100 mgOfloxacin   100 mg,60 ml,20.3
1111,Metronidazole   200 mgFurazolidone   40 mg,30 ml,10.89
1112,Metronidazole   200 mgOfloxacin   50 mg,30 ml,13.56
1113,Metronidazole   125 mgNorfloxacin   100 mg,30 ml,9.22
1114,Metronidazole   120 mgNorfloxacin   125 mg,30 ml,10.91
1115,Metronidazole   200 mgNalidixic Acid   300 mg,60 ml,23.24
1116,Metronidazole   200 mgDiloxanide Furoate   250 mg,60 ml,11
1117,Metronidazole   200 mgFurazolidone   60 mg,60 ml,11.42
1118,Metronidazole   100 mgFurazolidone   75 mg,60 ml,9.84
1119,Metronidazole   50 mgFurazolidone   40 mg,60 ml,7.94
1120,Metronidazole   1000 mgFurazolidone   200 mg,4 Injection,6.89
1121,Metronidazole   200 mg,60 ml,12.74
1122,Lincomycin   500 mgLacto Bacillus Sporegens   60  million spores,10 Capsule,19.45
1123,Analgin   500 mgChlorbutol   0.4% w/v,5 ml,9.22
1124,Aspirin   150 mgGlycine   75 mg,10 Tablet,2.4
1125,Iodochlorohydroxyquinoline   250 mgFurazolidone   100 mg,10 Tablet,6.52
1126,Aspirin   75 mgGlycine   37.5 mg,10 Tablet,1.9
1127,Iodochlorohydroxyquinoline   3% w/wBeclomethasone   0.025% w/w,5 gm,2.59
1128,Ibuprofen   400 mgTizanidine   2.288 mg,10 Capsule,15.42
1129,Ibuprofen   50 mgParacetamol   125 mg,60 ml,13.81
1130,Ibuprofen   100 mgAcetaminophen   162.5 mg,50 ml,9.86
1131,Ibuprofen   100 mgParacetamol   100 mg,60 ml,10.3
1132,Ibuprofen   200 mgDextromethorphan   32.5 mg,8 Capsule,6.56
1133,Furazolidone   25 mgMetronidazole   100 mg,100 ml,9.01
1134,Betamethasone   2 mgBenzyl Alcohol   4% w/v,10 ml,17.57
1135,Betamethasone   0.10% Neomycin   0.35% ,5 ml,8.74
1136,Betamethasone   0.1% w/vNeomycin   0.5% w/v,5 ml,8
1137,Furazolidone   35 mgMetronidazole   100 mg,1000 ml,76.9
1138,Betamethasone   0.1% w/vGentamicin Sulphate   0.3% w/v,0.3 ml,2.55
1139,Betamethasone   0.1% w/vGentamicin   0.3% w/v,5 ml,10.23
1140,Frusemide (Furosemide)   40 mgSpironolactone   50 mg,10 Tablet,24.68
1141,Betamethasone   0.05% Salicylic Acid   3% ,10 gm,7.23
1142,Frusemide (Furosemide)   20 mgSpironolactone   50 mg,10 Tablet,24.52
1143,Betamethasone   0.064% w/wGentamicin   0.1% w/w,30 gm,14.46
1144,Framycetin Sulphate   1% Hydrocortisone   1% ,5 ml,12.28
1145,Framycetin Sulphate   1% Dexamethasone   0.12% ,5 ml,14.18
1146,Betamethasone   0.064% w/wMiconazole Nitrate   2% w/w,10 gm,7.57
1147,Betamethasone   0.05% Neomycin   0.57% ,10 gm,7.32
1148,Betamethasone   0.05% Neomycin   0.25% ,15 gm,8.9
1149,Betamethasone   0.05% Clotrimazole   1% ,10 ml,7.04
1150,Betamethasone   0.12% w/wNeomycin   0.5% w/w,5 gm,6.8
1151,Betamethasone   0.061% w/wSalicylic Acid   3% w/w,20 gm,12.43
1152,Betamethasone   0.12% Salicylic Acid   2% ,20 gm,16.94
1153,Betamethasone   0.05% w/wSalicylic Acid   3% w/w,25 gm,12.6
1154,Betamethasone   0.64 mgGentamicin   1 mg,7.5 gm,6.08
1155,Betamethasone   1 mgFusidic Acid   20 mg,10 gm,27.56
1156,Betamethasone   0.05% w/wGentamicin   0.1% w/w,16 gm,7.04
1157,Betamethasone   0.05% w/wIodochlorohydroxyquinoline   30 mg,10 gm,5.9
1158,Betamethasone   0.05% w/wSalicylic Acid   2% w/w,10 ml,6.98
1159,Betamethasone   0.05% w/wSalicylic Acid   3% w/w,20 ml,10.29
1160,Betamethasone   0.05% w/wGentamicin   0.1% w/w,20 ml,10.02
1161,Betamethasone   0.01% Chlorcresol   0.10% ,17 gm,7.32
1162,Betamethasone   0.05% Chlorcresol   0.10% ,17 gm,8.8
1163,Betamethasone Valerate   0.1% w/wChlorcresol   0.1% w/w,30 gm,22.98
1164,Betamethasone   0.05% w/wNeomycin   0.5% w/w,20 gm,9.72
1165,Betamethasone   0.05% w/wMiconazole Nitrate   2% w/w,20 gm,10.5
1166,Betamethasone   0.1% w/wAbsolute Alcohol   76.05% ,30 gm,24.55
1167,Betamethasone   0.05% w/wKetoconazole   2% w/w,10 gm,8.45
1168,Cefadroxil   300 mgAmbroxol   30 mg,10 Tablet,21.78
1169,Cefadroxil   50 mgLactic Acid Bacillus   60 million spores,30 ml,9.6
1170,Cefadroxil   50 mgLactic Acid Bacillus   60 million spores,100 ml,19.53
1171,Cefadroxil   125 mgLactic Acid Bacillus   60 million spores,30 ml,10.44
1172,Cefadroxil   250 mgLactic Acid Bacillus   60 million spores,30 ml,14.78
1173,Cefadroxil   250 mgLactic Acid Bacillus   60 million spores,60 ml,24.86
1174,Cefadroxil   250 mgPotassium Clavulanate   62.5 mg,6 Tablet,30.26
1175,Cefadroxil   500 mgPotassium Clavulanate   125 mg,6 Tablet,58.98
1176,Cefadroxil   250 mgLactic Acid Bacillus   30 million spores,10 Capsule,18.14
1177,Cefadroxil   125 mgLactic Acid Bacillus   20 million spores,30 ml,10.36
1178,Cefadroxil   500 mgLactic Acid Bacillus   90 million spores,10 Tablet,30.42
1179,Cefadroxil   125 mgLactic Acid Bacillus   120 million spores,10 Tablet,8.8
1180,Chloroquine Phosphate   250 mgParacetamol   250 mg,10 Tablet,6.8
1181,Ciprofloxacin   200 mgSodium Chloride   900 mg,100 ml,40.85
1182,Ciprofloxacin   250 mgTinidazole   300 mg,100 ml,34.99
1183,Ephedrine   15 mgTheophylline   120 mg,10 Tablet,2.82
1184,Cloxacillin Sodium   2000 mgAmoxycillin Sodium   2000 mg,1 Vial,39.15
1185,Cloxacillin Sodium   1000 mgAmoxycillin Sodium   1000 mg,1 Vial,22.63
1186,Cloxacillin Sodium   500 mgAmoxycillin Sodium   500 mg,1 Vial,15.16
1187,Cloxacillin   250 mgAmpicillin   250 mg,10 Capsule,24.38
1188,Ephedrine   6 mgTheophylline   30 mg,50 ml,9.58
1189,Cloxacillin Sodium   2000 mgAmpicillin Sodium   2000 mg,1 Vial,28.73
1190,Cloxacillin   25 mgAmpicillin   50 mg,1 Vial,9.87
1191,Cloxacillin   125 mgAmpicillin   125 mg,10 Tablet,14.42
1192,Cloxacillin   250 mgAmpicillin   250 mg,10 Capsule,21.42
1193,Cloxacillin   500 mgAmpicillin   500 mg,4 Capsule,14.44
1194,Pseudoephedrine   60 mgTriprolidine   250 mg,30 ml,8.98
1195,Cloxacillin   500 mgAmpicillin   500 mg,10 Tablet,28.66
1196,Pseudoephedrine   180 mgFexofenadine   120 mg,10 Tablet,41.38
1197,Cloxacillin   25 mgAmoxycillin   50 mg,1 Vial,6.04
1198,Pseudoephedrine   60 mgCetirizine   5 mg,10 Tablet,3.8
1199,Pseudoephedrine   30 mgCetirizine   10 mg,10 Tablet,2.94
1200,Pseudoephedrine   60 mgCetirizine   10 mg,10 Tablet,4.4
1201,Pseudoephedrine   60 mgBromhexine   8 mg,15 Tablet,5
1202,Pseudoephedrine   120 mgCetirizine   5 mg,10 Tablet,7.08
1203,Pseudoephedrine   120 mgTerfenadine   60 mg,10 Tablet,11.82
1204,Pseudoephedrine   60 mgNimesulide   100 mg,10 Tablet,5.64
1205,Pseudoephedrine   120 mgDesloratadine   2.5 mg,10 Tablet,6.01
1206,Pseudoephedrine   60 mgTriprolidine   2.5 mg,10 Tablet,5.98
1207,Dexamethasone   0.1% w/vGentamicin   0.3% w/v,3 gm,4.93
1208,Pseudoephedrine   30 mgParacetamol   500 mg,10 Tablet,4.1
1209,Dexamethasone Sodium Phosphate   1 mgChloramphenicol   10 mg,5 gm,5.16
1210,Dexamethasone   0.1% w/vNeomycin   0.35% w/v,20 ml,6.46
1211,Dexamethasone   0.1% Neomycin   0.3% ,2.5 ml,6.88
1212,Dexamethasone   0.1% w/vOfloxacin   0.3% w/v,10 ml,10.14
1213,Ephedrine   15 mgTriprolidine   2.5 mg,115 ml,17.32
1214,Dexamethasone   0.1% w/wTobramycin   0.3% w/w,3 gm,4.84
1215,Dexamethasone   0.05% v/vNorfloxacin   0.3% v/v,10 ml,11.29
1216,Erythromycin   500 mgBromhexine   4 mg,10 Tablet,25.95
1217,Erythromycin   3% w/wZinc Sulphate   2.5% w/w,15 gm,9.03
1218,Erythromycin   4% Zinc Acetate   2% ,15 gm,10.36
1219,Erythromycin   4% w/wBenzoyl peroxide   5% w/w,60 gm,30.08
1220,Erythromycin   2% w/wTretinoin   0.025% w/w,10 gm,6.2
1221,Dextropropoxyphene   100 mgAcetaminophen   400 mg,8 Capsule,15.51
1222,Doxofylline   400 mgMontelukast   10 mg,10 Tablet,47.96
1223,Doxofylline   800 mgMontelukast   10 mg,10 Tablet,63.4
1224,Doxycycline   100 mgLactic Acid Bacillus   60 ,10 Tablet,7.08
1225,Doxycycline   100 mgLactic Acid Bacillus   30 million spores,10 Tablet,6.5
1226,Doxycycline   100 mgLactic Acid Bacillus   10 million spores,10 Capsule,8.88
1227,Doxycycline   100 mgLactic Acid Bacillus   5000 million spores,8 Capsule,46.78
1228,Doxycycline   100 mgNeomycin   100 mg,50 gm,48.35
1229,Doxycycline   160 mgNeomycin   400 mg,1 Injection,2.27
1230,Calcium Pantothenate   5% w/vCetrimide   2% w/v,15 ml,6.98
1231,Glipizide   5 mgMetformin   850 mg,10 Tablet,13.87
1232,Glipizide   5 mgMetformin   1000 mg,10 Tablet,14.8
1233,Rifampicin   60 mgIsoniazid   30 mg,6 Blister Tablet,4.98
1234,Rifampicin   100 mgIsoniazid   100 mg,10 Blister Tablet,13.21
1235,Rifampicin   150 mgIsoniazid   75 mg,6 PVC Film Blister,11.05
1236,Rifampicin   450 mgIsoniazid   300 mg,10 PVC Film Blister,52.11
1237,Rifampicin   600 mgIsoniazid   300 mg,10 PVC Film Blister,64.76
1238,Dextrose   5% Sodium Chloride   0.9% ,250 ml,18.92
1239,Dextrose   5% Sodium Chloride   0.9% ,500 ml,26.88
1240,Dextrose   5% Sodium Chloride   0.9% ,1000 ml,48.89
1241,Dextrose   5% Sodium Chloride   0.9% ,100 ml,13.68
1242,Erythromycin Estolate   125 mg,10 1,13
1243,Lamivudine   150 mgZidovudine   300 mg,1 tablet,19.63
1244,Stavudine   30 mgLamivudine   150 mg,1 tablet,9.2
1245,Stavudine   30 mgLamivudine   150 mg,1 tablet,9.2
1246,Stavudine   30 mgLamivudine   150 mg,1 tablet,9.2
1247,Stavudine   30 mgLamivudine   150 mg,1 tablet,9.2
1248,Vit B1   1000 iuVit B6   50 mgVit B12   1000 mcg,2 ml,5.9
1249,Acetyl Salicylic Acid   100 mgCalcium Carbonate   30 mgAnhydrous Citric Acid   10 mg,14 Tablet,3.04
1250,Aspirin   75 mgAtorvastatin   10 mgClopidogrel   75 mg,10 Capsule,36.82
1251,Acetyl Salicylic Acid   350 mgCalcium Carbonate   105 mgCitric Acid   35 mg,10 Tablet,3.86
1252,Aspirin   150 mgClopidogrel   75 mgAtorvastatin   10 mg,10 Capsule,43.08
1253,Aspirin   75 mgAtorvastatin   20 mgClopidogrel   75 mg,10 Capsule,49.69
1254,Betamethasone Sodium Phosphate   0.1% w/vGentamicin Sulphate   0.3% w/vBenzalkonium Chloride   0.02% w/v,5 ml,7.92
1255,Betamethasone   0.05% Salicylic Acid   3% ,15 gm,8.5
1256,Theophylline   125 mgBromhexine   8 mgEphedrine   20 mg,10 Tablet,3.3
1257,Theophylline   100 mgEphedrine   10 mgPhenobarbitone   10 mg,100 Tablet,26.12
1258,Theophylline   200 mgBromhexine   8 mgAlbuterol Sulphate   4 mg,10 Tablet,3.68
1259,Theophylline   100 mgSalbutamol   2 mgAmbroxol   30 mg,10 Tablet,1.87
1260,Theophylline   100 mgEphedrine Hcl   20 mgPhenobarbitone   15 mg,10 Tablet,3.2
1261,Theophylline   198 mgEphedrine Hcl   48 mgPhenobarbitone   25 mg,10 Tablet,6.48
1262,Theophylline   130 mgEphedrine   25 mgHydroxyzine Hcl   10 mg,20 Tablet,16.26
1263,Aspirin   150 mgIsosorbide 5 Mononitrate   30 mg,10 Capsule,12.34
1264,Betamethasone   0.05% Clotrimazole   1% Gentamicin Sulphate   0.1% ,5 gm,4.98
1265,Betamethasone   0.05% Gentamicin   0.10% Clotrimazole   1% ,10 gm,6.92
1266,Betamethasone   0.05% Gentamicin   0.1% Clotrimazole   1% ,15 gm,8.92
1267,Betamethasone Valerate   0.12% w/wNeomycin   0.5% w/wMiconazole Nitrate   2% w/w,10 gm,10.86
1268,Betamethasone   0.05% Gentamicin   0.10% Miconazole Nitrate   2% ,10 gm,7.32
1269,Betamethasone   0.05% w/wGentamicin Sulphate   0.10% w/wClotrimazole   1% w/w,7 gm,6.02
1270,Betamethasone   0.05% w/wNeomycin   0.5% w/wClotrimazole   1% w/w,7 gm,6.06
1271,Betamethasone Valerate   0.05% w/wGentamicin Sulphate   0.1% w/wTolnaftate   0.1% w/w,5 gm,5.1
1272,Betamethasone   0.05% w/wGentamicin   0.1% w/wMiconazole   2% w/w,15 gm,9.26
1273,Betamethasone Valerate   0.1% w/wGentamicin   0.1% w/wMiconazole   2% w/w,10 gm,8.36
1274,Betamethasone   0.05% w/wGentamicin Sulphate   0.1% w/wClotrimazole   1% w/w,7 gm,6.02
1275,Silver Sulphadiazine   1% w/wChlorhexidine   0.2% w/w,25 gm,10.3
1276,Betamethasone Valerate   0.12% w/wNeomycin   0.5% w/wMiconazole   2% w/w,10 gm,10.63
1277,Salbutamol   1 mgBromhexine   4 mgEtophylline   50 mg,100 ml,16.15
1278,Chloroxylenol   4.8% w/vTerpineol   9% v/vAbsolute Alcohol   13.1% v/v,50 ml,11.48
1279,Chloroxylenol   4.8% w/vTerpineol   9% v/vAbsolute Alcohol   13.1% v/v,100 ml,18.26
1280,Chloroxylenol   4.8% w/vTerpineol   9% v/vAbsolute Alcohol   13.1% v/v,200 ml,31.75
1281,Chloroxylenol   4.8% w/vTerpineol   9% v/vAbsolute Alcohol   13.1% v/v,500 ml,70.68
1282,Chloroxylenol   4.8% w/vAlcohol   13.1% v/vTerpineol   9% v/v,5 Litre,653.18
1283,Chlorpromazine   25 mgTrihexiphenidyl   2 mgTrifluoperazine   5 mg,10 Tablet,2.86
1284,Salbutamol   0.5 mgAmbroxol   7.5 mgGuaiphenesin   12.5 mg,15 ml,9.03
1285,Chlorpromazine   50 mgTrihexiphenidyl   2 mgTrifluoperazine   5 mg,10 Tablet,6.27
1286,Salbutamol   1 mgAmbroxol   15 mgTheophylline   50 mg,100 ml,13.75
1287,Chlorpromazine   100 mgTrihexiphenidyl   2 mgTrifluoperazine   5 mg,10 Tablet,7.42
